word	why
FACE	Xuxen rejects it
FALCON	Xuxen rejects it
FALL	Xuxen rejects it
FAMILY	Xuxen rejects it
FAR	Xuxen rejects it
FARM	Xuxen rejects it
FASHION	Xuxen rejects it
FAST	Xuxen rejects it
FAULT	Xuxen rejects it
FEATHER	Xuxen rejects it
FEEL	Xuxen rejects it
FEMME	Xuxen rejects it
FERMI	Xuxen rejects it
FEVER	Xuxen rejects it
FIELD	Xuxen rejects it
FIESTA	Xuxen rejects it
FIFTH	Xuxen rejects it
FIFTY	Xuxen rejects it
FIG	Xuxen rejects it
FIGHT	Xuxen rejects it
FILET	Xuxen rejects it
FILL	Xuxen rejects it
FIND	Xuxen rejects it
FINGER	Xuxen rejects it
FIRE	Xuxen rejects it
FIRST	Xuxen rejects it
FISH	Xuxen rejects it
FIVE	Xuxen rejects it
FLAME	Xuxen rejects it
FLOWER	Xuxen rejects it
FLY	spelled as Basque never spells
FOLLOW	Xuxen rejects it
FOOD	Xuxen rejects it
FOOT	Xuxen rejects it
FORD	Xuxen rejects it
FORGET	Xuxen rejects it
FORK	Xuxen rejects it
FOUR	Xuxen rejects it
FOX	Xuxen rejects it
FRACKING	Xuxen rejects it
FREE	Xuxen rejects it
FREQUENCY	Xuxen rejects it
FRIEND	Xuxen rejects it
FROST	Xuxen rejects it
FRUIT	Xuxen rejects it
FUCK	Xuxen rejects it
FULL	by hand: English, though Xuxen and a Romance list accept it
FUN	Xuxen rejects it
FUTURE	Xuxen rejects it
GADS	Xuxen rejects it
GALLETA	Xuxen rejects it
GAME	Xuxen rejects it
GARDEN	Xuxen accepts it, but no Romance language has it: English only
GAT	Xuxen rejects it
GATE	Xuxen rejects it
GAY	spelled as Basque never spells
GAZELLE	Xuxen rejects it
GELATO	Xuxen rejects it
GEN	Xuxen rejects it
GEOGRAPHIC	Xuxen rejects it
GET	Xuxen rejects it
GHOST	Xuxen rejects it
GINGER	Xuxen accepts it, but no Romance language has it: English only
GIRL	Xuxen rejects it
GIVE	Xuxen rejects it
GLASS	Xuxen rejects it
GOD	Xuxen rejects it
GOLD	Xuxen rejects it
GOLDEN	by hand: English, though Xuxen and a Romance list accept it
GONNA	Xuxen rejects it
GOOD	Xuxen rejects it
GOULASH	Xuxen rejects it
GRAND	Xuxen rejects it
GRANT	Xuxen rejects it
GRAVITY	Xuxen rejects it
GREEN	spelled as Basque never spells
GREY	Xuxen rejects it
GROW	Xuxen rejects it
GUL	Xuxen rejects it
GUN	Xuxen accepts it, but no Romance language has it: English only
GUT	Xuxen rejects it
GUY	Xuxen rejects it
HAD	Xuxen rejects it
HAIL	Xuxen rejects it
HAIR	Xuxen rejects it
HAJ	Xuxen rejects it
HALF	Xuxen rejects it
HALL	by hand: English, though Xuxen and a Romance list accept it
HAM	Xuxen rejects it
HAMBURGER	Xuxen rejects it
HAMMER	Xuxen rejects it
HAND	Xuxen rejects it
HAPPY	Xuxen rejects it
HARD	Xuxen rejects it
HARE	Xuxen rejects it
HART	Xuxen rejects it
HAT	Xuxen rejects it
HAVE	Xuxen rejects it
HAVEN	Xuxen rejects it
HEAD	Xuxen rejects it
HEART	Xuxen rejects it
HEATHER	Xuxen rejects it
HEAVEN	Xuxen rejects it
HEAVY	spelled as Basque never spells
HELL	Xuxen rejects it
HELLO	Xuxen rejects it
HELP	Xuxen rejects it
HER	Xuxen rejects it
HERB	Xuxen rejects it
HERE	Xuxen rejects it
HILL	Xuxen rejects it
HIP	Xuxen rejects it
HIS	Xuxen rejects it
HIT	Xuxen rejects it
HOBBY	spelled as Basque never spells
HOLD	Xuxen rejects it
HOLIDAY	Xuxen rejects it
HOLM	Xuxen rejects it
HOME	Xuxen rejects it
HOMO	Xuxen rejects it
HONEY	Xuxen rejects it
HOOK	Xuxen rejects it
HOPE	by hand: English, though Xuxen and a Romance list accept it
HORA	Xuxen rejects it
HORN	Xuxen rejects it
HORSE	Xuxen rejects it
HOT	by hand: English, though Xuxen and a Romance list accept it
